"code","SNP","Con","Lib Dem","Lab","mtime","turnout","majority","electorate","percentageTurnout","percentageChangeTurnout","swing","lastPercentageMajority","sittingParty","winningParty","PC","Brexit","Green","Ind","Soc Dem","BSJP","UKIP","Speaker","Alliance","DUP","UUP","Young","Yorkshire","Libertarian","Lib","CPA","AWP","Loony","NE Party","SDLP","SF","Gwlad","ND","Wycombe","LD","dec.constituency","dec.Con","dec.Lab","dec.LD","dec.Brexit","dec.Green","dec.SNP","dec.PC","dec.Other","nov.Con","nov.Lab","nov.LD","nov.Brexit","nov.Green","nov.SNP","nov.PC","nov.Other","conLead","predConLead"
"E14000542",NA,27.26,3.49,37.64,"2019-12-13T02:02:02.000Z",38070,8.45,69504,54.77,-4.15,-21.91,32.58,"Lab","Lab",NA,29.19,2.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.49,"Barnsley East",23,43,5,26,3,0,0,0,27,39,6,24,4,0,0,0,-10.38,-20
"E14000544",NA,67.05,8.48,20.8,"2019-12-13T01:54:39.000Z",44128,46.25,69906,63.12,-1.83,6.1,29.83,"Con","Con",NA,NA,3.16,NA,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.48,"Basildon and Billericay",64,22,8,0,3,0,0,3,63,22,8,0,3,0,0,3,46.25,42
"E14000559",NA,13.09,3.83,59.04,"2019-12-13T02:04:39.000Z",42329,41.83,63762,66.39,-1.33,-17.82,58.43,"Ind","Lab",NA,3.52,3.32,NA,NA,17.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.83,"Birkenhead",15,53,7,6,4,0,0,14,20,49,9,7,6,0,0,10,-45.95,-38
"E14000575",NA,42.68,5.26,40.94,"2019-12-12T23:36:09.000Z",40859,1.74,64429,63.42,-3.63,5.37,18.63,"Lab","Con",NA,8.31,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.26,"Blyth Valley",37,45,7,8,3,0,0,0,37,43,7,9,3,0,0,0,1.74,-8
"E14000581",NA,9.17,3.71,79.44,"2019-12-13T02:07:07.000Z",49174,70.27,74832,65.71,-3.3,-4.59,71.99,"Lab","Lab",NA,5.31,2.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.71,"Bootle",13,66,7,11,4,0,0,0,15,67,6,8,4,0,0,0,-70.27,-53
"E14000586",NA,58.68,14.26,22.2,"2019-12-13T01:52:59.000Z",54350,36.48,79206,68.62,-1.95,-0.15,28.66,"Lib Dem","Con",NA,NA,3.84,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.26,"Bracknell",53,26,16,0,3,0,0,2,55,22,18,0,3,0,0,2,36.48,27
"E14000606",NA,65.58,8.5,23.17,"2019-12-13T01:16:12.000Z",46706,42.41,73182,63.82,-0.78,3.43,33.26,"Con","Con",NA,NA,2.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,"Broxbourne",65,22,10,0,3,0,0,0,65,21,9,0,4,0,0,0,42.41,43
"E14000620",NA,55.18,6.6,35.78,"2019-12-13T02:11:33.000Z",42873,19.4,65105,65.85,-3.27,5.31,6.04,"Con","Con",NA,NA,NA,NA,NA,NA,2.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,"Carlisle",55,39,4,0,0,0,0,2,54,37,7,0,0,0,0,2,19.4,16
"E14000637",NA,NA,NA,NA,"2019-12-13T01:38:54.000Z",39870,43.63,78177,51,-21.82,12.03,13.5,"Speaker","Speaker",NA,NA,9.03,23.67,NA,NA,NA,67.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chorley",0,0,0,0,15,0,0,85,0,0,0,0,11,0,0,89,NA,0
"E14000658",NA,48.05,4.82,40.48,"2019-12-13T01:32:33.000Z",43498,7.57,66395,65.51,-2.04,4.76,7.32,"Lab","Con",NA,3.55,2.43,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.82,"Darlington",45,39,5,7,2,0,0,2,43,41,6,7,2,0,0,1,7.57,6
